,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
271,glass-blur,vgg16,0.61824,0.5208864546878637,0.0731522345713709,-3.1481071464330665,1.0917660005216323e-10,0.0005437629129576,10.381231610498432,417.70394136131273,-0.7598687270856244,0.09849269866811121,0.10528271310556389,0.3895337009844527,0.4599083222341539,0.5021888319687767
272,glass-blur,vgg19,0.6341,0.5248844684461691,0.07074065999742929,-3.1399987246407424,1.1104159996014329e-10,0.0005510305936623999,10.37116545288086,418.98837324296954,-0.7731482864416207,0.09774505023177711,0.107139609949992,0.39671751687237533,0.4663024324750901,0.5087303596469892
273,glass-blur,alexnet,0.45887999999999995,0.36366587303226816,0.11992458790709318,-2.2444449939608395,1.0184940000754206e-10,0.00036284110133460003,7.720963355956073,306.7036586983109,-0.49728806481579024,0.07444947453506291,0.0679776095030445,0.26819646774091177,0.31246579019784937,0.3359537070322981
274,glass-blur,resnext,0.54068,0.21422828372644262,0.001581571267811499,-0.940324036591762,2.4703999696590317e-12,0.00013605883976175156,7.089877718129159,303.79301011583334,-0.6412960655534412,0.03205616221588101,0.0277708267371961,0.33973427056533967,0.42969633017539977,0.2285205984290065
275,glass-blur,googlenet,0.57128,0.43876920200083414,0.10687102477486751,-2.8566345871001406,9.618200116565112e-12,0.0004281267810770463,8.994531326708792,360.1804447274971,-0.6112805381390063,0.08928210328802459,0.08113510281279031,0.32867662497640326,0.3866131041002274,0.4103536795178058
276,glass-blur,densenet121,0.57576,0.440453634640351,0.006062241235558985,-2.415965050535156,1.7381510011675594e-10,0.00048374708267029994,8.029194074850082,337.40294306022645,-0.6908319485888583,0.0721000424133986,0.0969554997379232,0.35664428744016763,0.4350463241815568,0.45092306284587935
277,glass-blur,mobilenet,0.60614,0.27031028320034034,0.15188985970562502,-1.634815299001457,3.0779998775459783e-12,0.0001718966633696458,11.31987749320984,425.46842942743297,-0.5183638004178637,0.0604651228527166,0.0315537672238609,0.36238806539452495,0.4044768973684311,0.2419961621296291
278,glass-blur5,resnet50,0.72434,0.2687830661511142,0.05315792535937,-1.2305283892400567,2.7799999715444335e-12,0.0001564055584576213,11.022114166889192,445.6572592673492,-0.7409837203423305,0.0469318261435162,0.0308261145876603,0.4492742267123777,0.5295980150556565,0.2688081004579801
279,glass-blur5,resnet18,0.62242,0.5505458276668005,0.10993785221339927,-3.4382333266633793,1.5014079996628071e-10,0.0005530437481988467,11.929042653775214,469.05823493083955,-0.7778719747049135,0.1103258718861825,0.1052658809440734,0.41405759448754886,0.4808485360312462,0.5167410192611089
280,gaussian-noise5,resnet18,0.68154,0.523719875926748,0.11048316405816219,-3.2128267601962692,1.517497000454171e-10,0.0005410327484319957,10.339527769203187,423.3072443635559,-0.7562312542674255,0.0997897463822551,0.10377257765240419,0.41556858763486015,0.48592015287876134,0.5013676574037191
281,gaussian-noise5,resnet34,0.70536,0.4471681240968034,0.0524698026362099,-2.3443546343569532,1.7874639984295781e-10,0.0005079146934153,7.484689535703659,325.04237571632393,-0.7273123396107942,0.0675724845187366,0.1028886358685946,0.3548018725821801,0.4320387049460411,0.4661274960585359
282,gaussian-noise5,resnet101,0.70272,0.5143459762151725,-0.003259327980998289,-2.800957360020822,1.900177001423059e-10,0.0005775886266,8.894785454969405,378.1279202324296,-0.8252709710442264,0.08173439028406511,0.11669245580110471,0.4066019704368842,0.5034653595209122,0.5343726086164824
283,gaussian-noise5,resnet152,0.6843400000000001,0.5582158896144852,-0.012809509866183094,-3.2040464868235343,1.9893979996341016e-10,0.0006129720276943,10.057747022027971,418.8465895815659,-0.869771075488762,0.0943609477018193,0.122559403657897,0.43329199944802843,0.5305477332878112,0.5688507871910665
284,gaussian-noise5,vgg16,0.70814,0.6011475239528715,0.1603186874457324,-3.840310842362292,1.1179830000131175e-10,0.0006072108217523615,12.324455896677973,491.9269902164077,-0.8452743531084488,0.1209471426978522,0.1153715678948352,0.42249966892023083,0.4903185862135888,0.5634727476418704
285,gaussian-noise5,vgg19,0.715,0.5794961954222061,0.1453938758110869,-3.6007733285436734,1.1375170011658498e-10,0.0006004288448298589,11.121829785528185,460.4273970324707,-0.8510372092963626,0.10896961137184871,0.1157278082414666,0.4568837047551274,0.5327309677910805,0.5579329380505385
286,gaussian-noise5,alexnet,0.56146,0.4000671496044287,0.1929225696797519,-2.5066112602019137,1.0503459994121167e-10,0.0004019847366959616,7.859871789765354,319.26348752475735,-0.5557089678028702,0.08134530224829921,0.07519814784077421,0.1904955859666736,0.22082644815683372,0.366826974277681
287,gaussian-noise5,resnext,0.63688,0.3134528542829864,0.03472684677076049,-1.5865866004155222,3.450600048748864e-12,0.00018229480377025416,12.725789908471107,499.89673446636203,-0.8386586010243144,0.058945957884565005,0.035524922636333604,0.45520366258878897,0.5519456584739686,0.30690777728336205
