Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
speckle-noise,densenet121,0.36694,0.4664991908430494,0.29301356192399625,2.398413454517297,0.0010000000920356252,0.000338074851389847,23.301187501540184,622.7983446720314,1.035137120273825,0.14349046873575078,0.0551936489039627,1.0003574304094947,-0.4281999546313286,0.34485888857977565
pixelate,densenet121,0.5051,0.5857727119447663,0.2949882554303861,1.7326829559362158,0.0010000000541610643,0.00046595254924382517,25.529509064483644,715.6759944696807,0.8550615685503583,0.1642250924802199,0.08030662426819137,1.0892969653404965,-0.32244898317337034,0.4621315332053339
pixelate,googlenet,0.53166,0.4878258869761601,0.30233699726563523,2.638358214067422,0.0010000000319466927,0.00035706834608147575,24.367161289892195,669.624230138321,0.9481523296539826,0.13976176497798412,0.061232024564076726,1.0568993403703093,-0.36196500025749206,0.37976152715292155
pixelate,mobilenet,0.36564,0.1663823326361645,0.17854948623309194,5.303949292168022,0.0010000000294833444,6.803923942458823e-05,18.01222572657108,429.9485967619133,1.2933237430702895,0.05854947951960377,0.010503650772758652,0.8730233805211419,-0.5639977846240998,0.11267935191942205
jpeg-compression,resnet18,0.50688,0.5478805721035972,0.3044209798744428,1.9553524668519735,0.0010000000534555874,0.00042756097602060435,24.753532948684693,684.4019430636978,0.9073198535064724,0.1567016840294376,0.07306352463397146,1.0650841497609176,-0.349299891910553,0.42712138809466066
jpeg-compression,resnet34,0.56486,0.6219202384329214,0.2986593032487892,1.5725703098521222,0.0010000000588526018,0.0005099698716585727,26.088673870944977,741.0154786256409,0.7885406416923276,0.16824309697892517,0.08975078761688206,1.124881200333425,-0.2775073485636711,0.5037174414577816
jpeg-compression,resnet101,0.61398,0.6804238521744683,0.2907202110378073,1.3015715185047114,0.001000000063078478,0.0005794840064125038,27.051541381006242,783.4649295721817,0.6826285386200329,0.1754970316227153,0.10447146512863517,1.1779972944475912,-0.21099454312324523,0.5690151883314621
jpeg-compression,resnet152,0.64022,0.7020847101652435,0.2863388380261311,1.200224551018123,0.0010000000657164492,0.0006059272945992189,27.38140235862732,798.3174320843506,0.6432073643297037,0.17805785887427628,0.11011225627657717,1.195863164645264,-0.18709889379501343,0.5940713431040199
jpeg-compression,vgg16,0.45024,0.4866548317589704,0.3008588668766478,2.2676478304542855,0.001000000050328672,0.0003625593251300563,23.51370374929905,632.6505839731217,1.0048745238452608,0.1468751625066623,0.06002474322570241,1.011102033320425,-0.41356533871412277,0.36464135950367577
jpeg-compression,vgg19,0.4638,0.5104956114524044,0.3034061164598446,2.1311371742448033,0.0010000000514299608,0.0003885870100145621,23.953631822161675,650.6136674215126,0.9686051277714788,0.15120889238534496,0.065068896441712,1.0253935050105252,-0.3975924048495293,0.3870728412741298
jpeg-compression,alexnet,0.3773,0.4326453464155644,0.28669391328383226,2.5313034448797045,0.0010000000471179374,0.0003034262177318442,22.51490305680752,590.876486420784,1.0871076131609798,0.13756748762205243,0.04848916281340447,0.9708803586331877,-0.4601512760901451,0.3130101132570293
jpeg-compression,resnext,0.7011,0.3742185320461914,0.1812876818913019,4.419567252811789,0.001000000030482188,0.00018167191604457456,27.457943745098113,802.78910203125,0.7018648244598718,0.09597313415132463,0.03277323426325614,1.211470071775768,-0.16882211832761765,0.3155414142909711
jpeg-compression,wide_resnet,0.70268,0.6147930131796002,0.23156087127576908,2.521629861722095,0.0010000000334368087,0.00044868710967984953,28.373376176977157,842.3263565762329,0.5594390758667427,0.14910373025776819,0.08327920778129373,1.252344738388157,-0.11612505528926849,0.5358826187545681
jpeg-compression,densenet121,0.56278,0.6151179632914812,0.29809822538162895,1.60269715984773,0.0010000000591157004,0.0005017214627639897,25.974773202056884,736.0244541734314,0.8016201940372314,0.16752078356605024,0.08794475370816839,1.1190863315960708,-0.28411500331401823,0.4959636346777994
