,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
77,imagenetv2-top-images-format-val,resnet152,-0.01897895099999991,-0.009330218000000001,0.009756132,0.03878104800000004,0.0,-1.0752999999999956e-05,-0.1622555900000009,-7.2714714999999615,0.017455916000000016,-0.0009733519999999829,-0.002318618999999994,-0.010583052000000093,-0.013502997000000003,-0.010496437999999997
78,imagenetv2-top-images-format-val,vgg16,-0.020211933999999987,-0.0033652640000000345,0.004523789,0.01725542999999996,0.0,-3.095000000000051e-06,-0.08866049999999959,-3.498952700000018,0.005943830000000094,-0.0006461490000000125,-0.0005449100000000096,-0.002440020999999959,0.001034098000000011,-0.0013650219999999935
79,imagenetv2-top-images-format-val,vgg19,-0.01686968500000008,-0.005675346999999942,0.004720995000000006,0.025604608000000084,0.0,-5.830000000000071e-06,-0.12591224999999895,-5.405595800000015,0.008654385000000042,-0.00087479800000001,-0.0011523849999999919,-0.007048278999999935,-0.00962855999999998,-0.005669809000000026
80,imagenetv2-top-images-format-val,alexnet,-0.014789995,-0.008140991999999958,0.0007730690000000151,0.042128551000000014,0.0,-9.19199999999999e-06,-0.11824261000000291,-5.398170199999981,0.011299727000000037,-0.0013545419999999864,-0.0017700759999999954,-0.009655602000000041,-0.013563359999999969,-0.007936366000000028
81,imagenetv2-top-images-format-val,resnext,-0.009281208999999957,0.010117074000000004,0.009574215999999997,-0.07920295800000066,0.0,1.176000000000001e-05,-0.007888720000000404,0.012853900000095564,-0.004605840999999999,0.002040873999999998,0.002299535999999998,0.0013580550000000802,0.004594814999999999,0.010556123000000028
82,imagenetv2-top-images-format-val,wide_resnet,-0.007643607999999968,0.0005499379999999165,0.0055415929999999836,-0.016418920000000004,0.0,2.8569999999999898e-06,-0.05348319999999873,-2.2323460999999725,0.0033354550000000427,0.0002044870000000032,0.0005677619999999994,-0.0016951249999999085,-0.0005948780000000001,0.0010375899999999216
83,imagenetv2-top-images-format-val,densenet121,-0.022376642000000002,-0.011063232000000034,0.008238622000000029,0.053762504999999905,0.0,-1.2810999999999942e-05,-0.18874144999999842,-8.187176399999998,0.01913097099999994,-0.0015541230000000184,-0.002637548999999989,-0.008914525000000006,-0.0113896,-0.011174915000000007
84,imagenetv2-top-images-format-val,googlenet,-0.03175523200000008,-0.014659843000000006,0.006183804999999987,0.07706811400000002,0.0,-1.5316000000000028e-05,-0.27697471999999834,-11.773186099999975,0.024778150000000054,-0.002428147999999991,-0.003044746000000001,-0.010811914000000034,-0.017264310000000005,-0.014372300999999976
85,imagenetv2-top-images-format-val,mobilenet,-0.026066187000000074,-0.004159189000000008,0.003047907999999988,0.007837410999999683,0.0,-1.3799999999999902e-06,-0.30544306999999904,-12.005780399999935,0.015301077000000052,-0.0007162390000000074,-0.0002855699999999989,-0.013369571999999996,-0.01600591200000001,-0.0038342049999999794
86,imagenetsketch,resnet18,0.495304549,0.33515301599999997,0.011214490999999993,-1.7887263519999999,0.0,0.000374428,5.82590562,249.63966170000003,-0.5327997400000001,0.052765493999999996,0.075462434,0.27250358799999996,0.33897254899999996,0.34781998500000005
87,imagenetsketch,resnet34,0.49842266300000004,0.314338862,-0.023590396999999985,-1.591803839,0.0,0.000364519,5.185512129999999,226.4097349,-0.5285793030000001,0.044379101000000004,0.075262731,0.26952768800000004,0.335571191,0.339738044
88,imagenetsketch,resnet101,0.504065598,0.31614564599999995,-0.06138908800000001,-1.569968688,0.0,0.00037836099999999996,4.9118647499999994,217.09894780000002,-0.551041024,0.041653781,0.07933554099999998,0.25860393299999984,0.334538281,0.352254248
89,imagenetsketch,resnet152,0.49778467500000007,0.30146925199999997,-0.069385103,-1.4839403370000002,0.0,0.00036452200000000004,4.546512289999999,203.1400592,-0.531735222,0.03835588100000001,0.076910256,0.25779129499999986,0.335169819,0.340737215
90,imagenetsketch,vgg16,0.540604129,0.339501979,0.010223746000000034,-1.7312511000000002,0.0,0.000387779,5.7710434500000005,249.38903570000002,-0.562308786,0.050009394999999984,0.079355951,0.283125995,0.34842559900000003,0.35998009000000003
91,imagenet-r,resnet50,0.7744933329999999,0.08733954499999996,-0.10556590799999999,0.5548296829999999,0.0,1.1352999999999998e-05,7.86735247,289.1957662,-0.41629635399999987,0.013434106000000001,0.0027380789999999974,0.200004434,0.24168141599999998,0.08686154799999996
92,imagenet-r,resnet18,0.669246667,0.20480067999999996,-0.014687265000000005,-0.8900533929999999,0.0,0.00024009999999999998,3.4881478500000007,152.20856130000004,-0.356968096,0.027157744999999983,0.049892375,0.1691021450000001,0.20959463200000003,0.22075132700000005
93,imagenet-r,resnet34,0.70294,0.21477866,-0.039869589999999955,-0.945012261,0.0,0.00025613000000000003,3.5014994600000016,153.86365609999996,-0.37948388,0.02774632399999999,0.053539613,0.17552465300000009,0.21961594499999998,0.233705516
